id,created_at,tweet,lang,source,retweet_count,user.favourites_count,user.followers_count,user.name,user.profile_image_url
1319423013620596736,2020-10-22 23:38:54,bmeiselas already voted joe biden pass,en,Twitter for iPhone,525,38196,126,Cheryl Hernandez,http://pbs.twimg.com/profile_images/1399615614482743299/Ql8fNMkF_normal.jpg
1319411919825129479,2020-10-22 22:54:49,rt democracyinn  breaking  biden tests negative covid19 ahead final debate trump,en,Twitter for Android,127,50853,148,Made in America,http://pbs.twimg.com/profile_images/1458788870670200832/Z6t9yioA_normal.jpg
1319397079794520067,2020-10-22 21:55:51,rt kamalaharris   would incumbent president office  four years try discourage people voting   bec ,en,Twitter for iPhone,871,14623,190,Clarissa 🏴‍☠️🇲🇽🇺🇸🏳️‍🌈🧢💯 that Bitch.,http://pbs.twimg.com/profile_images/1308081565726134279/KF_npKMT_normal.jpg
1319413052496805891,2020-10-22 22:59:19,dvinson79 outkick whitlockjason realdonaldtrump letting dodge court packing issue  ,en,Twitter for Android,4795,35802,64,Glen,http://pbs.twimg.com/profile_images/1422623678441918468/yBzetRiT_normal.jpg
1319411969795911681,2020-10-22 22:55:01,rt projectlincoln  lincoln project launched intention defeating trump trumpism   swing states senate ,en,Twitter for iPhone,0,62116,342,Cindy Harcar,http://pbs.twimg.com/profile_images/1375581451861692417/dECLvzYX_normal.jpg
1319359960292024321,2020-10-22 19:28:21,rt kayleighmcenany  great join president realdonaldtrump stage rally  thanks pictures politicalshoots  https ,en,Twitter for iPhone,90,86663,1712,ToniP,http://pbs.twimg.com/profile_images/1325150601768886272/tE4JHzhp_normal.jpg
1319336963783131137,2020-10-22 17:56:58,rt marklevinshow  obama  clownish ever failed president ,en,Twitter for Android,27353,7181,2599,𝔸𝕝𝕒𝕓𝕒𝕞𝕒 𝕎𝕒𝕤𝕙𝕚𝕟𝕘𝕥𝕠𝕟 🇺🇸🌊🎃👻☠️,http://pbs.twimg.com/profile_images/1456518152347693056/TEtZUi6F_normal.jpg
1319304817660092416,2020-10-22 15:49:14,rt joebiden  vote like health care ballot   ,en,Twitter Web App,0,55988,282,Faeroefather,http://pbs.twimg.com/profile_images/1431727515190677508/Lux3thdY_normal.jpg
1319420790476070914,2020-10-22 23:30:04,rt petebuttigieg  tonight  debate   fox news 6pm et hope  tune watch ,en,Twitter for iPhone,2394,24999,5492,Cookie mama 1015,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
1319415145517502464,2020-10-22 23:07:38,rt scottmstedman  confirm  via source  shustry report yesterday hunter biden  emails alleged compromising pict ,en,Twitter for iPhone,886,106900,666,Gene,http://pbs.twimg.com/profile_images/1272982569433341959/nJKcJ-bQ_normal.jpg
